,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
10,Akrobatisches Potpourri,1895,N/A,01 Nov 1895,1 min,"Documentary, Short",Max Skladanowsky,N/A,Grunato,Eight circus performers known as the Grunato family perform their famous balancing act.,None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNDhhMDVhMjUtYjA3MS00NjVhLWI3MTYtZjM5NjMyNDdjNjI0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,325,tt0000011,movie,N/A,N/A,N/A,N/A,True,
11,L'arrivée d'un train à La Ciotat,1896,Not Rated,25 Jan 1896,1 min,"Documentary, Short","Auguste Lumière, Louis Lumière",N/A,"Madeleine Koehler, Marcel Koehler, Mrs. Auguste Lumiere",A train arrives at La Ciotat station.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"11,303",tt0000012,movie,N/A,N/A,N/A,N/A,True,
12,Le débarquement du congrès de photographie à Lyon,1895,Not Rated,12 Jun 1895,1 min,"Documentary, Short",Louis Lumière,N/A,"Auguste Lumière, P.J.C. Janssen","The photographers who need to participate in the congress of Lyon get off a boat in Neuville-sur-Saône, dividing to the right and left.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYmU0ZGY2MWYtY2FiZi00MjM5LTkwMzQtMzBiM2Q3YjQ1YjQ2XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"1,743",tt0000013,movie,N/A,N/A,N/A,N/A,True,
13,L'arroseur arrosé,1895,Not Rated,N/A,1 min,"Short, Comedy",Louis Lumière,N/A,"François Clerc, Benoît Duval",An impudent child plays a prank on a gardener innocently watering his plants.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGNjMDkzNDAtOGI1NS00MGIyLWFkZjgtYWNkYzhlZWYwMmIzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"5,074",tt0000014,movie,N/A,N/A,N/A,N/A,True,
14,Autour d'une cabine,1894,N/A,15 Dec 1894,2 min,"Animation, Short",Émile Reynaud,N/A,N/A,Pre-cinematograph colour animation of a woman and man at the beach.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMGFjNWM4N2ItM2QyNy00YWRmLTgzMzItMjc0N2RjMjdlODdhXkEyXkFqcGdeQXVyMzQ5MjE2ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,954,tt0000015,movie,N/A,N/A,N/A,N/A,True,
15,Barque sortant du port,1895,N/A,N/A,1 min,"Documentary, Short",Louis Lumière,N/A,"Mrs. Auguste Lumiere, Jeanne-Joséphine Lumière","A rowboat with three men is leaving a little harbor. Two of them are rowing the boat, while the third is sitting in the stern. All of them wear hats. They are passing the outer end of a pier, where two women in long, black gowns and ",None,France,N/A,https://m.media-amazon.com/images/M/MV5BOTU5YzI1MWEtMmZmZS00N2U2LThiODktODM1NDQwZTZkNDE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"1,344",tt0000016,movie,N/A,N/A,N/A,N/A,True,
16,Italienischer Bauerntanz,1895,N/A,01 Nov 1895,1 min,"Documentary, Short","Emil Skladanowsky, Max Skladanowsky",N/A,"Ploetz, Larella","Two children, Ploetz and Larella, perform an Italian peasant dance.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMmQ5NTVhODgtZTVmZS00ZjhjLWE0YWYtMTk5M2U0ZGFhNjZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,293,tt0000017,movie,N/A,N/A,N/A,N/A,True,
17,Das boxende Känguruh,1895,N/A,01 Nov 1895,1 min,Short,Max Skladanowsky,N/A,Delaware,"A man and a kangaroo stand up in front of each other with boxing gloves, and simulate a boxing match on a theatre stage.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMGI3NDY2NmUtZmYwNi00OThhLWFhZWUtNmNiMTU3NzJmYmVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,541,tt0000018,movie,N/A,N/A,N/A,N/A,True,
18,The Clown Barber,1898,N/A,01 Aug 1898,N/A,"Short, Comedy",James Williamson,N/A,N/A,Clown cuts off customer's head and replaces it.,None,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,28,tt0000019,movie,N/A,N/A,N/A,N/A,True,
19,The Derby 1895,1895,N/A,20 Nov 1895,1 min,"Documentary, Short, Sport",Birt Acres,N/A,N/A,"A stationary camera, looking diagonally across a racetrack toward the infield, records the horses as they race past. Once they are out of view and the race is over, police officers run onto the infield. The crowd moves around.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODBkMmI0NDMtM2Y0Zi00YTU1LWJiODktZTJlYTkxNjA5ZWU0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,317,tt0000020,movie,N/A,N/A,N/A,N/A,True,
20,Le débarquement du congrès de photographie à Lyon,1895,Not Rated,12 Jun 1895,1 min,"Documentary, Short",Louis Lumière,N/A,"Auguste Lumière, P.J.C. Janssen","The photographers who need to participate in the congress of Lyon get off a boat in Neuville-sur-Saône, dividing to the right and left.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYmU0ZGY2MWYtY2FiZi00MjM5LTkwMzQtMzBiM2Q3YjQ1YjQ2XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"1,743",tt0000013,movie,N/A,N/A,N/A,N/A,True,
21,Les forgerons,1895,N/A,28 Jun 1896,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"Two blacksmiths work while the vapors rise in the air. Later, another man arrives and offers a drink.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNTU3ZjQ4ZmUtNDlmOC00YWM1LTg0MDUtMTBkOGYwMGYwZjdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,998,tt0000022,movie,N/A,N/A,N/A,N/A,True,
22,Baignade en mer,1895,N/A,28 Jun 1896,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"Several little boys run along a pier, then jump into the ocean.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BODBiN2QxZjktZmMwZi00NWY3LWI0NjktZmE5MzUwMzIyZDNjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"1,289",tt0000023,movie,N/A,N/A,N/A,N/A,True,
23,Opening of the Kiel Canal,1895,N/A,19 Jun 1895,N/A,"Short, News",Birt Acres,N/A,"Empress Augusta Victoria, Kaiser Wilhelm II",N/A,None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNWNhYTg2M2EtYjQ2Ni00ZGEzLTkxNTctZDBkNWZjMDA5YTEzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,82,tt0000024,movie,N/A,N/A,N/A,N/A,True,
24,The Oxford and Cambridge University Boat Race,1895,N/A,N/A,N/A,"Short, News, Sport",Birt Acres,N/A,N/A,"Although the content of this film is primitive in the extreme - a shot of the traditional Oxford versus Cambridge University Boat Race, filmed on March 30 1895 - this film is of immense historical importance as being the first ever B",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOGFiZjVkYmYtYjkwZC00NWY0LWI0MGItYWYyNzNlMDNlN2Y2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,39,tt0000025,movie,N/A,N/A,N/A,N/A,True,
25,Partie d'écarté,1896,N/A,23 Feb 1896,1 min,"Documentary, Short",Louis Lumière,N/A,"Antoine Féraud, Antoine Lumière, Félicien Trewey","Two men play cards, as a third watches and a waiter brings drinks. The third man pours drinks as the waiter laughs.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGI0OTA4ODItMTE2My00OTNkLTk2MjYtZTcwZjRkOWVmMWU5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"1,431",tt0000026,movie,N/A,N/A,N/A,N/A,True,
26,Place des Cordeliers à Lyon,1895,N/A,28 Dec 1895,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"A stationary camera looks across the boulevard at a diagonal toward one corner of Lyon's Cordeliers' Square. It's a long shot, with a great deal of depth of focus. We can see the sky and fronts of four buildings, each four or five st",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYzc4ZTA4NmItMDdkZS00NWZjLWFjYjQtZjMzYjk5YjVhMTdkXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"1,049",tt0000027,movie,N/A,N/A,N/A,N/A,True,
27,La pêche aux poissons rouges,1895,N/A,28 Dec 1895,1 min,"Documentary, Short",Louis Lumière,N/A,"Andrée Lumière, Auguste Lumière",A baby held by his father dips his little hands into a water jug and he can' t catch the goldfish .,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTNkN2I5MGUtMWVmOS00OWE5LWE4ZDMtZjE1NjJiODJkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,971,tt0000028,movie,N/A,N/A,N/A,N/A,True,
28,Repas de bébé,1895,N/A,01 Jul 1896,1 min,"Documentary, Short",Louis Lumière,N/A,"Auguste Lumière, Mrs. Auguste Lumiere, Andrée Lumière","As part of a maiden public film screening at the Salon Indien, on December 28, in Paris, Auguste Lumière pivots the centre of attention around his baby daughter, as he tries to feed her from a spoon.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BM2Q0ZDhkM2EtODFlOC00NzRiLWJhMmYtMmI0ZWQ0ZTdmMzBmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"3,115",tt0000029,movie,N/A,N/A,N/A,N/A,True,
29,Rough Sea at Dover,1895,Not Rated,14 Jan 1896,1 min,"Documentary, Short","Birt Acres, Robert W. Paul",N/A,N/A,"The sea is quite rough, and at Dover a series of heavy waves pounds against a pier and along the adjacent shoreline. The scene then shifts to a different view of flowing water, and shows a heavy current from a point along a riverbank",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOWFhNTM4MmYtMTBjZi00MWMyLWEyMjYtNjAwODcyM2U2NzM1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,771,tt0000030,movie,N/A,N/A,N/A,N/A,True,
30,Le saut à la couverture,1895,N/A,01 Jul 1896,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"Outdoors, with a nondescript building in the background, four men stand, each holding the corner of a blanket stretched parallel to the ground. They wear the clothes of laborers. By the back corner on our left stands a uniformed man ",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNmY3YTM2MTQtNWY5MC00MzQxLWJiMDctNWYzYTI5N2Y1OGEzXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,933,tt0000031,movie,N/A,N/A,N/A,N/A,True,
31,Die Serpentintänzerin,1895,N/A,01 Nov 1895,1 min,Short,Max Skladanowsky,N/A,Ancion,"A young woman dancer with large, flowing robes, swirls round herself quickly, making her light robe flow around her like a butterfly's wings.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BYzEzMGUyNjQtNTRjZC00OGY1LThmMTYtM2UwM2Q0ZWM3NzE2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,380,tt0000032,movie,N/A,N/A,N/A,N/A,True,
32,La voltige,1895,N/A,01 Jul 1896,1 min,"Documentary, Short, Comedy",Louis Lumière,N/A,N/A,"A man tries to get on a horse , but he climbs to one side and falls from the other, until he manages to stay in balance.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTc0OTQ4NzgtZDE3Mi00M2IzLWE0MjMtMjg0MTM1NzU1OGY1XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,945,tt0000033,movie,N/A,N/A,N/A,N/A,True,
33,Arrivée d'un train gare de Vincennes,1896,N/A,N/A,1 min,"Documentary, Short",Georges Méliès,N/A,N/A,This lost film presumably features a train arriving at Vincennes station.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMmY0MThkYmItNjE4Yy00MjdmLTlkZmQtY2VlNDljMmE5ZDY4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,151,tt0000034,movie,N/A,N/A,N/A,N/A,True,
34,L'arroseur,1896,N/A,N/A,1 min,"Short, Comedy",Georges Méliès,N/A,N/A,"This lost film presumably features a person watering flowers to comedic effect. This film is believed to have imitated the Louis and Auguste Lumière film ""L'arroseur arrose"", which survives.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYWY1Mjc5YjktZWM3NC00NzM4LWI4MjctZGVjYjUyYjA0ZTU4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,58,tt0000035,movie,N/A,N/A,N/A,N/A,True,
35,Awakening of Rip,1896,Not Rated,01 Sep 1896,25S min,"Drama, Short",William K.L. Dickson,Washington Irving,Joseph Jefferson,A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,None,United States,1 win,https://m.media-amazon.com/images/M/MV5BZWM1OGIxYzYtMzI1ZC00NDZmLWEzNmMtOTc2Y2JjNTQ0NDAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,564,tt0000036,movie,N/A,N/A,N/A,N/A,True,
36,Sea Bathing,1896,N/A,N/A,1 min,Short,Georges Méliès,N/A,N/A,"The film was shown tenth and completed the famous first paid Lumière cinema show of the ten films in Paris in the basement ""Grand Cafe"" on the Boulevard des Capucines 28 December 1895. ...",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMzY5MDE4ZGUtMzE2Mi00YWMxLTk3YTctNzY4MTdmNDc5ZWFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,40,tt0000037,movie,N/A,N/A,N/A,N/A,True,
37,The Ball Game,1898,N/A,20 May 1898,N/A,"Documentary, Short, Sport",William Heise,N/A,"Scoops Carey, Zane Grey, Scott Stratton","""The Reading's [Pennsylvania] pitcher has just let a Newark [New Jersey] batsman walk to first. Our camera is stationed about twenty feet from the bag, and the satisfied grin of the runner ...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,153,tt0000038,movie,N/A,N/A,N/A,N/A,True,
38,Barnet Horse Fair,1896,N/A,N/A,N/A,Short,N/A,N/A,N/A,N/A,None,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,13,tt0000039,movie,N/A,N/A,N/A,N/A,True,
39,Barque sortant du port de Trouville,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTA1MTFhMTYtMmE3Mi00ZjQzLTkxOGQtNTEzZTk4NDZkOTIzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,39,tt0000040,movie,N/A,N/A,N/A,N/A,True,
40,Bataille de neige,1897,N/A,07 Feb 1897,1 min,"Documentary, Short, Comedy",Louis Lumière,N/A,N/A,"People start a snowball fight on a street in Lyons, France.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BN2FiMDZmNTUtNGMxMC00ZDQ2LTg5YjktMGNkNDA2NGIzOWFlXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,651",tt0000041,movie,N/A,N/A,N/A,N/A,True,
41,Bateau-mouche sur la Seine,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYjgwMjI3YzktNGZlNC00NmFlLWE0MzUtOGFjN2I3MmNiMjUzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,34,tt0000042,movie,N/A,N/A,N/A,N/A,True,
42,Batteuse à vapeur,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,Little is known of this lost film; presumably it featured one or more threshing machines.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNmY5MmI4MzEtOWUwNS00MzI0LWI2MzAtYjY2YTc3ZGRkNWMwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,11,tt0000043,movie,N/A,N/A,N/A,N/A,True,
43,Le bivouac,1896,N/A,N/A,1 min,Short,Georges Méliès,N/A,N/A,"This lost film, among the earliest by Georges Méliès, presumably featured the use of a bivouac sack for a soldier encampment.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZjViODAyMjktNTRkOC00NDk1LTllZWUtOWM4ZjY3ZDBhODNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,28,tt0000044,movie,N/A,N/A,N/A,N/A,True,
44,Les blanchisseuses,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,This lost film presumably features women washing clothing.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNzBjZjI4YjYtNGIyOC00ZDQyLTg0OTctN2U2YmUyMjJiZTQzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,29,tt0000045,movie,N/A,N/A,N/A,N/A,True,
45,Bois de Boulogne,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZWM2N2MzMGMtNzNkNi00OTc2LTg5NDQtNWViNTA2MGIwNmFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,15,tt0000046,movie,N/A,N/A,N/A,N/A,True,
46,Boulevard des Italiens,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTU4MDhhNDAtNDNhOS00ZjRiLTk4OTQtOWQwNTkwN2I2MGNlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,31,tt0000047,movie,N/A,N/A,N/A,N/A,True,
47,The Boxing Kangaroo,1896,N/A,01 Jan 1896,N/A,Short,Birt Acres,N/A,N/A,N/A,None,UK,N/A,https://m.media-amazon.com/images/M/MV5BYWExYWNmNzQtODQwNS00OTcxLTk4NDMtYjBhNDQ0ZDJjZWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,139,tt0000048,movie,N/A,N/A,N/A,N/A,True,
